"X","site","management","coords_x1","coords_x2","pres"
1,"AL1","Reference",846279.4,921444.95,1
2,"AL10","Clear cut, residues removed",899063.5,989168.9,0
3,"AL11","Young, Managed",898755.1,990398.25,0
4,"AL12","Old, managed",867689.65,1007135.95,1
5,"AL13","Clear cut, residues removed",868534.7,1001561.45,1
6,"AL14","Unthinned, Managed",867288.25,1006417.75,0
7,"AL15","Unthinned",871425.125,1004016.45,1
8,"AL16","Clear cut, residues left",872611.75,1003293.95,1
9,"AL17","Old",869999.4,1005795.85,1
10,"AL18","Clear cut, residues removed",869256.975,1007598.55,1
11,"AL19","Young",868103.075,1009001.475,1
12,"AL2","Reference",848545.15,921726.4,1
13,"AL20","Thinned",862003.175,1000559.35,1
14,"AL21","Clear cut, residues left",867107.675,1010820.2,0
15,"AL22","Young",861935.65,986359.475,1
16,"AL23","Unthinned",866875.675,982365.325,0
17,"AL24","Old",883971.75,938610.475,0
18,"AL25","Thinned",870981.5,1002773.425,1
19,"AL26","Reference",882163.775,943493.1,1
22,"AL3","Clear cut, w/ residues",846938.95,984261.95,0
23,"AL4","Clear cut, w/ residues",847034.5,983809.7,0
24,"AL5","Old, Managed",812598.9,970310.4,0
25,"AL6","Thinned, Managed",812679.1,970837.7,0
26,"AL7","Unthinned, Managed",867643.1,1002564.05,1
27,"AL8","Thinned, Managed",867614.15,1003607.1,1
28,"AL9","Young, Managed",867111.45,1004782.8,1
29,"GV1","Clear Cut, debris REMOVED",1323236.65,848200.825,0
30,"GV10","Young",1319390.1,809631.5,0
31,"GV11","Unthinned",1322458.475,809631.825,0
32,"GV12","Clear cut, debris LEFT",1299536,827878.35,0
33,"GV13","Thinned",1308810.625,832869.05,0
34,"GV14","Thinned",1330762.025,814547.55,0
35,"GV15","Unthinned",1330555.125,816132.425,0
36,"GV16","Reference",1348466.425,834588.35,0
37,"GV17","Reference",1353842.35,835575,0
38,"GV18","Reference",1373596.625,809099.125,0
39,"GV19","Old",1361691.725,786930.525,1
40,"GV2","Clear Cut, debris REMOVED",1287060.625,830205.525,0
41,"GV20","Old",1324391.775,789096.5,0
42,"GV21","Thinned",1323975.525,790246.675,0
43,"GV22","Thinned",1321316.775,790877.225,0
44,"GV23","Unthinned",1322367,790540.1,0
45,"GV24","Unthinned",1322788.45,847495.475,1
46,"GV25","Clear cut, debris LEFT",1292529.25,836427.925,0
47,"GV26","Clear cut, debris LEFT",1292384.15,837582.05,0
50,"GV3","Thinned",1288327.95,831854.275,0
51,"GV4","Clear Cut, debris REMOVED",1288792.35,809018.725,0
52,"GV5","Clear Cut, debris REMOVED",1283300.975,830369.025,0
53,"GV6","Clear cut, debris LEFT",1257420.375,870211.9,0
54,"GV7","Young",1274614.175,853001.225,0
55,"GV8","Young",1282447.6,838446.6,0
56,"GV9","Young",1283806.575,837401.5,0
57,"JC1","Reference",1099994.8,976568.6,0
58,"JC10","Clearcut",1105881.725,971058,0
59,"JC11","Young",1106060.4,969561.775,0
60,"JC12","Young",1106175.725,968589.675,0
61,"JC13","Thinned",1106233.25,967689.925,0
62,"JC14","Thinned",1114532.3,964278,0
63,"JC15","Thinned",1114616.55,962744.05,0
64,"JC2","Reference",1098065.575,975157.425,0
65,"JC3","Reference",1090584.675,973251.375,0
66,"JC4","Clearcut",1104486,982224.975,0
67,"JC5","Old Growth",1108963.875,979827.9,0
68,"JC6","Old Growth",1108428.55,980655.25,0
69,"JC7","Old Growth",1100436.15,972504.325,0
72,"TT10","Clear Cut, debris removed",1060079.65,890349.05,0
73,"TT11","Old, managed",1119769.6,854023.35,0
74,"TT12","Unthinned, managed",1149792.35,868537.5,0
75,"TT13","Unthinned, managed",1146985.6,868351.8,0
77,"TT16","Reference",1143193.05,925963.65,0
78,"TT2","Young, managed",1076464.8,925051.8,0
79,"TT3","Unthinned, managed",1076574.2,924241.4,1
80,"TT4","Clear cut, debris left",1079111.5,922758.9,0
81,"TT5","Old, managed",1135394.3,935550.4,0
82,"TT6","Old, managed",1134460.35,933842.95,0
83,"TT7","Thinned, managed",1077529.3,922087.85,0
84,"TT8","Clear cut, debris left",1127784.4,865897.15,0
85,"TT9","Clear Cut, debris removed",1059748.6,889500.6,0
